image,prompt
053.JPG,"Mystical ancient stone circle {Stonehenge}, illuminated by soft sunlight, vast green fields in background, Photorealistic Image, golden ratio, 4K resolution, 35mm lens, medium shot, natural light"
051.JPG,"A pair of clownfish nestling amongst vibrant coral reefs, ultra-realistic underwater photograph, shot with a macro lens (135mm), showcasing intricate details and hyper detailed texture, natural light filtering through ocean water, soft light illuminating the scene, 8K resolution, high dynamic range (hdr:1.25)"
076.jpg,"Two majestic aircraft carriers sailing side by side on a clear day, high resolution, realistic photograph, sunny weather with vivid blue ocean and clear sky, 70mm lens, front view, detailed reflection on water, HDR, 8K"
078.jpg,"Aerial view of a verdant coastal landscape, resembling the British Isles, in a high-resolution photograph, 300mm wide angle lens, HDR lighting emphasizing the lush greens and deep blues of the sea, highly detailed texture of the land and water."
115.jpg,"A close-up portrait of a majestic domestic cat peeking through lush green leaves, sharp focus, high resolution, soft natural light, with a deep green and black background – Photorealistic Image, digital photograph, shot with a macro lens (35mm), 8K, majestic and mysterious mood with detailed fur texture and gleaming eyes."
133.jpg,"Red sailboat navigating through Arctic waters, with large icebergs and a full moon in the twilight sky, high resolution photograph, 35mm lens, soft twilight lighting, detailed reflection in calm water, back view, Arctic exploration theme."
039.webp,"Close-up shot of a person's eye being attended to meticulously by a healthcare worker, hyper-detailed, indoor setting with soft studio lighting emphasizing the textures and reflections on the eye, professional photography, 135mm lens, highly detailed with a focus on realism and clarity, ambient light (ambient light:1.2), high resolution"
014.webp,"A towering stack of various ice cream scoops including strawberry, vanilla with chocolate chips, and triple chocolate, balanced in a chocolate-dipped waffle cone, 4K hyper detailed image, Food Photography, Front view shot with a 35mm lens, natural light, featuring (high resolution:1.5) and(render style: cinematic)"
071.jpg,"Close-up photograph of a blooming wild garlic flower, buds emerging vividly against a dark indigo background, crisp and clear with a sharp focus, 35mm lens, high resolution, natural sunlight highlighting the delicate textures of the petals and leaves."
138.jpg,"A male cardinal perched on a tree branch with ice-encased twigs, digital photograph, inspired by nature photography, medium telephoto lens, close-up shot, high resolution, detailed with natural soft light effects"
140.jpeg,"Contemporary houses with sharp geometric designs reflected perfectly in calm waters at dusk, high resolution photograph, sharp focus with 35mm lens, front view, HDR effects, warm lights from windows adding a cozy, ambient feel"
013.webp,"Busy airport tarmac with multiple airplanes lined up, control tower overseeing the operations, clear sunny day, high resolution photograph, wide angle lens, natural light, (lens: 35mm), (hdr:1.25), background featuring distant mountains"
114.jpeg,"Photorealistic Image: {A woman in an elegant blue dress stands poised on a rocky outcrop, her arms outstretched as if embracing the mountain wind}, Outdoor mountain landscape during sunset, high-definition, 35mm lens, low angle shot, detailed texture, HDR lighting, golden ratio composition"
112.jpg,"Majestic mountain overlooking a calm lake, early autumn morning with crisp air, visible soft sunrays enhancing the warm, faded colors of the foliage, High Resolution, Photorealistic Image, medium telephoto lens, close-up shot, HDR and highly detailed render"
084.jpg,"Majestic eagle with a sharp gaze, high resolution photograph, captured using a (35mm:1.2) lens, close-up shot, detailed feathers texture, natural light, in a wild forest setting"
141.jpg,"Ancient Greco-Roman columns standing tall against a clear blue sky, photorealistic image, high resolution, sharp focus, 35mm lens, low angle view, (details:1.2), perfectly capturing the texture of the stone and the intricate carvings, bathed in natural sunlight"
092.jpg,"Vivid blue and green hummingbird in mid-flight, capturing the delicate motion of its wings, set against a soft-focus forest background, hyper-detailed photorealistic image, shot with a wide angle 35mm lens, high resolution rendering, natural sunlight filtering through leaves creating a dynamic interplay of light and shadow"
126.jpg,"Modern architecture, expansive concrete bridge spanning peacefully over a tranquil river, with a clear sky and gentle ripples on water surface, Photorealistic Image, HDR, high resolution 8K, Camera lens 70mm, wide angle, low angle view, natural light (hyper detailed:1.18)"
024.jpg,"{two people toasting with elegant glasses of beer, a man with red light on his face, a woman looking towards the man}, indoor studio shot, muted ambient lighting, mid-telephoto lens:135mm, high resolution, realistic photograph"
010.webp,"An African woman wearing a blue garment standing in a vibrant green field, with a bright blue sky and fluffy white clouds overhead, 4K resolution, realistic photograph, Natural light, golden ratio composition, wide angle lens (35mm)"
020.webp,"Post-apocalyptic cityscape, Photorealistic Image, 35mm wide angle lens, high angle shot, HDR, 8K resolution"
083.jpg,"Two chili peppers, one red and one yellow, submerged in sparkling clear water with bubbles clinging to their surfaces, Type of image: photograph, Shot: close-up, Camera: macro lens, Render Related Information: 4K resolution, highly detailed, natural light reflecting off the water droplets"
129.jpg,"A professional DSLR camera, highly detailed and photorealistic, focus on the intricate design and materials, isolated on a solid white background. Camera: 135mm lens, sharp focus, high angle view. Resolution: 8K, Render: cinematic"
094.jpg,"Photorealistic Images: {Majestic rhinoceros walking through a dry grassy savannah}, digital photograph, outdoor setting with subtle sunrays peeking through sparse trees, low angle view, camera lens 70mm, high resolution, (natural light:1.2), (detailed:1.15)"
090.jpg,"Taj Mahal at sunrise, high-resolution photograph, early morning light casting long shadows, with a serene sky, captured as a wide-angle shot from a (wide angle:1.5), vibrant colors, HDR detail, cinematic (Octane render:1.1)"
099.jpg,"Enchanted autumn forest at sunrise with sunrays filtering through leaves, 4K high resolution, natural light, vivid colors, wide angle lens"
006.jpg,"A steaming bowl of soup with a sprig of dill on top, resting on a vibrant orange and red floral tablecloth. An elegant white ceramic bowl and a neatly folded orange napkin beside it, with soft-focus utensils partially visible. Indoor setting with natural light casting dynamic shadows and highlights, giving a cozy, inviting atmosphere. Scene captured in a high-resolution digital photograph, using a 35mm lens."
034.webp,"Chinese flag waving briskly, typical winter day setting, Photorealistic Image, ultra-detailed 8K resolution, hdr lighting intensifying the vivid red and gold colors; camera: 300mm telephoto lens, shot: medium shot, lighting: natural light with sharp focus, inspired by classic National Geographic photography"
093.jpg,"Photorealistic Image: {gray patterned water snake gliding silently over the dark, rippled lake water}, Type of Image: high-resolution photograph, Camera: 200mm telephoto lens, Shot: close-up, Render Related Information: natural light, high detail, (sunrays arriving softly on the lake:1.2)"
144.jpg,"Sunlight filtering through the dense canopy of ancient redwood trees, photorealistic image, vibrant natural light, outdoor, high angle view, 35mm lens, natural light emphasis, highly detailed resolution"
028.webp,"Striated Caracara perched on a rocky coastline, high resolution digital photograph, lens: sharp focus 70mm, low angle view, HDR sunlight highlighting plumage details, background of blurred ocean waves and brown autumn leaves"
101.webp,"A person's hand holding a smartphone, open to a chat app, details on screen readable, in an indoor setting with a wooden background, Photorealistic Images, high resolution, shot taken with a wide angle lens, soft natural light illuminating the hand and phone"
087.jpg,"Chess pieces poised in mid-game, monochrome digital photograph, high-resolution, influenced by classic chess tournaments, EE 70mm lens, medium shot, studio lighting, (detailed:1.30), (hyper detailed:1.10)"
052.jpg,"Dome of the Rock, breathtaking historical architecture, bright sunny day with deep blue sky, detailed Islamic tile work, Jerusalem, high-resolution digital photograph, UHD, 135mm lens, natural light, sharp focus"
037.webp,"Ford Maverick hybrid pickup truck from the rear, high-resolution photograph, parked outdoors during sunset with soft sunlight casting shadows, 35mm lens, focused on the logo and tail lights| Camera: wide angle"
147.jpg,"Vintage yellow taxi cab parked on a bustling New York street, realistic photograph, low angle shot, 35mm lens, high resolution, detailed city background with blurred pedestrians and modern buildings, sun rays coming through high-rise buildings, HDR, soft light"
005.webp,"Grizzly bear standing upright in a swiftly flowing river, Photorealistic Image, Close-up Shot, 200mm lens, High Detail, HDR, Ambient Natural Light, Rendered in Octane"
124.jpeg,"Majestic stag with expansive antlers, outdoor forest setting, early morning mist, high resolution, 70mm lens, front view, natural light, detailed, 8K resolution"
036.webp,"Vibrant urban skyline, high-resolution digital photograph, modern architecture, skyscrapers reaching towards a clear blue sky, bustling city view, wide angle, shot with a sharp focus from a high angle, rendering with HDR and UHD details"
097.jpg,"A breathtaking winter sunrise illuminating a frost-covered mountain landscape, snow-laden trees dominate the foreground, 8K resolution, professional photographic style, wide angle EE 70mm lens, sharp focus, high-detail capture, soft ambient sunlight casting golden hues, serene outdoor atmosphere, HDR for enhanced lighting dynamics"
080.jpg,"A majestic spiral galaxy, viewed in high resolution, with twinkling stars and radiant cosmic dust, Type of Image: digital illustration, Art Styles: surrealism, Art Inspirations: Hubble Space Telescope photos, Camera: wide angle lens, Shot: panoramic, Render Related Information: 8K resolution, highly detailed, HDR lighting"
123.jpg,"A highly detailed photorealistic image of a chameleon blending into a vibrant, green forest environment, perched on a branch; 4K resolution, hdr:1.25, shallow depth of field using a (macro lens:1.5), natural light with (sunrays:1.3) piercing through the canopy, close-up view"
122.jpg,"Vintage blue car driving on a sunlit city highway, skyscrapers in the background, realistic HDR photograph, 135mm lens, high angle, detailed rendering with emphasis on sunlight and shadow interplay (hdr:1.25), (detail:1.3)"
069.jpg,"Close-up portrait of an elderly man smoking a cigar, focused on the detailed textures of his aged skin, the smoke swirling around, realistic photograph, 35mm lens, high resolution, detailed, natural light, front view"
109.jpg,"Whiskey being poured into a glass with ice cubes, realistic photograph, outdoor setting on a wooden table during sunset, vivid lighting with sunrays highlighting the splash, 70mm lens, low angle shot, detailed, HDR, high resolution"
007.webp,"Men and rescue workers amidst debris of a collapsed building, dust clouds rising in background, outdoor, daytime setting, high resolution, sharp focus lens, realistic photograph, 35mm lens, HDR lighting, highly detailed, shot from a low angle"
017.webp,"Human hand holding a clear glass under a running water tap, close-up shot, realistic photography style, kitchen sink as the background, focus on the water flow and reflections in the glass, soft natural light filtering through a nearby window, vivid colors, high resolution, using a 35mm lens"
035.webp,"{Insulated travel mug filled with hot beverage, on a wooden table, outdoor setting with early morning sunlight}, photograph, golden hour, light rays caressing surface, 35mm lens, close-up shot, high resolution, natural light"
085.jpg,"Morning dew on a dense woodland of evergreen cypress, Photorealistic Image, natural light filtering through the mist, high resolution, 70mm lens, close-up shot, detailed texture of the leaves capturing the essence of a fresh spring morning"
045.webp,"Patient lying in a hospital bed with an IV in arm, Photorealistic Image, hospital room environment with minimalistic design, neutral colored beddings, high angle view, 35mm lens, high resolution detailed, soft natural light filtering through a window"
040.webp,"pop concert stage with vibrant futuristic lighting and a female singer holding a glittering microphone, dense crowd in the background, Photorealistic, surrealistic elements, high angle shot, 35mm lens, detailed resolution, volumetric light"
033.webp,"{Copperhead snake coiled on an aged, rough driftwood}, detailed photorealistic image, high resolution, naturalistic tones, front low angle, (sharp focus:1.2), ambient light softening the scales, Macro lens"
030.webp,"A king cobra in a striking pose, hyper-detailed, outdoor rainforest setting, close-up shot with soft natural light filtering through the foliage, 35mm lens, highly detailed texture, HDR, 8K resolution"
026.webp,"Intersection of bustling city traffic, high-resolution photograph, late afternoon light casting long shadows, 8K resolution, 70mm lens, overhead view, realistic texture detailing with (ambient light:1.2), (Sharp focus:1.3)"
067.jpg,"A group of zebras standing in shallow blue waters under clear skies, detailed photorealistic image, natural light, HDR, resolution 8K, camera shot: long shot, lens: 70mm wide angle"
079.jpg,"Vibrant blue and yellow macaw perched on a branch, detailed photograph of exotic bird, surrounded by soft-focused greenery background, shot with sharp focus 70mm lens, natural light highlights the vivid texture of feathers, high resolution"
149.jpg,"Gas station at night enveloped in fog, digital illustration, realistic photography style, inspired by Edward Hopper, wide angle lens, panoramic shot, high resolution"
042.webp,"Spacious supermarket interior showcasing various products neatly arranged on shelves, Aldi Finds promotional stands prominently displayed, modern lighting, clean atmosphere, Photorealistic Image, wide angle lens, front view, highly detailed, HDR lighting, 4K resolution"
027.webp,"A group of serious business men walking confidently through a grand hallway of a historical building, indoor setting with classic architecture, vaulted ceilings, and a grand chandelier, high resolution, 70mm lens, medium shot, natural light filtering through distant windows, detailed textures of the stone walls and decorative elements, realistic photographic style"
008.webp,"Single Viola flower with a soft white/yellow central bloom amidst fresh green leaves, macro shot, subtle natural light highlighting delicate textures, outdoor earthy background with bokeh effect, highly detailed 4K resolution, 35mm lens, high angle view."
137.jpg,"A lone white tulip standing out in a field of pink and white rows, vivid and highly detailed, photorealistic image, natural light, 70mm lens, soft-focus background, low angle shot, HDR effect, high resolution."
116.jpg,"A majestic brown dog with perked ears and a soulful gaze, standing in front of a lush green field with a rainbow in the background, Photorealistic Image, high resolution, rendered with professional lighting, using a 70mm lens, front view, hyper detailed."
015.webp,"A magnified image of a tardigrade in a microscopic world, Hyperrealistic Photographic Style, with (detailed:1.2) texture capturing the unique anatomical features under a (scanning electron microscope:1.3) effect, Camera Lens 800mm, extreme close-up shot, professional resolution (HDR:1.25), ambient light emphasizing the surreal details"
074.jpg,"Close-up portrait of a green tree frog sitting on a vibrant red and green leaf, Photorealistic Image, HDR lighting, 800mm lens, sharp focus, sun rays illuminating the subject from the back, creating a halo effect"
107.webp,"Romanesque sculpture bust shattering into vibrant neon particles, Photographic Render, abstract expressionism, inspired by surreal digital arts, 35mm lens, close-up shot, HDR lighting, {4K resolution (resolution:1.5), highly detailed (detail:1.6), volumetric light}"
113.jpg,"Giant bonfire reflected on a calm lake at night, photograph, outdoors, nighttime lighting effects, camera: 50mm, high angle, highly detailed, resolution: 8K, (vivid colors:1.3)"
066.jpg,"A majestically posed peacock with fully spread feathers, displaying vivid blue and green colors, set against a lush green forest background, Photorealistic Image, Natural Wildlife Photography, 300mm medium telephoto lens (sharp focus:1.5), medium shot, high resolution, natural sunlight casting highlights and shading across the feathers"
073.jpg,"An elegant outdoor brunch setup with a variety of traditional sweets and teas displayed on a floral-patterned tablecloth, digital photograph, overhead shot captured with a wide angle lens (35mm), high resolution, ambient outdoor lighting with vivid colors and soft focus on the background for depth"
068.jpg,"Battle tank in a dry, dusty field, close-up, realistic photograph, natural light, highly detailed, 80mm telephoto lens, HDR, 4K resolution"
077.webp,"Snow-capped mountains towering over a tranquil glacier lake, vast landscape, Photorealistic Images, majestic morning light, shot with an 800mm telephoto lens, highly detailed, HDR, resolution 8K"
104.webp,"Latest smartphones displayed in a modern technology store, Photorealistic Image, 4K resolution, studio lighting, 35mm lens, close-up shot, detailed texture of wood and metallic gleam on phones, high angle view"
048.webp,"Classic car, sleek 1970s coupe design, photorealistic image, 35mm lens, side view, HDR lighting, highly detailed"
089.jpg,"Two vintage fighter planes in mid-air combat, high-detail digital illustration, steampunk style with elements of surrealism inspired by ArtStation and Deviantart, ultra-wide angle fish-eye lens, aerial view, cinematic octane render, vivid colors, HDR, detailed engine smoke effects"
100.jpg,"Golden Thai temple spire under clear blue sky, highly detailed photorealistic image, architectural photography, wide angle lens, golden ratio composition, HDR lighting."
105.jpg,"A pride of lions resting under an ancient gnarled tree in the savannah, with a safari vehicle in the background, realistic photographic style, natural sunlight and blue skies, high resolution, 35mm lens, (wide angle:0.75), (natural light:1.3), (hyper detailed:1.15)"
058.jpg,"Close-up of a modern soccer ball on a lush green field, Photorealistic image, enhanced texture and high detail, vibrant colors, 35mm lens, high angle view, (professional lighting:1.25), 8K resolution"
004.webp,"Clear glass bottle filled with visible liquid, side view, realistic photographic style, high detail focusing on texture and reflections of the glass surface, 35mm lens, close-up, professional studio lighting, white background"
055.jpg,"{fresh orange juice being poured into a tall glass, condensation on the glass, vibrant orange color, sunlit background} photograph, high resolution, wide angle lens, close-up shot, sunlight reflecting off the liquid, hyper detailed, (hdr:1.25)"
119.jpg,"Aged spacecraft in a massive, disused hangar, surrounded by scaffolding and industrial machinery, Photorealistic Image, HDR lighting, overhead view, wide angle lens (35mm), high resolution shot in soft light"
120.jpeg,"New York skyline seen through a large window at sunrise, high-resolution photograph, 70mm lens, soft morning light casting warm glow on the buildings, sharp focus, panoramic view"
148.jpg,"Photorealistic image of {a cluster of blue grapes with one vivid red grape, outdoors in natural sunlight}, close-up shot, with sharp focus and high resolution (8K), captured with a 35mm lens, using natural light, HDR effect"
050.webp,"A large cruise ship gliding through a serene glacier bay, surrounded by towering snow-capped mountains and a vibrant blue sky, Photorealistic Image, (HDR:1.25), 35mm lens, wide shot, natural light."
072.jpg,"High above the Earth, a detailed satellite clinging to the edge of the atmosphere, capturing the sprawling Russian landscape beneath, as seen from space; ultra high resolution photograph, 70mm lens, high angle shot, detailed Earth texture showing rivers and mountains, HDR lighting, hyper detailed render."
091.jpg,"majestic Eiffel Tower, central photography, shot under perfect blue sky, people strolling in the park, detailed grass and clear texture of vibrant green lawn, high resolution, sharp focus, 70mm lens, golden hour lighting"
002.webp,"A person gently picking ripe red coffee berries from lush green branches, close-up view, in a photorealistic style, natural light highlighting the vibrant reds and greens, background softly blurred, 35mm lens, high resolution image with a focus on intricate details and texture of the berries and leaves, render: hyper detailed."
108.jpeg,"Aerial view of a rustic coastline with waves crashing on a rocky shore, highly detailed, digital illustration, inspired by environmental photographers, 35mm lens, wide shot, high resolution, HDR lighting"
130.jpg,"Vast desert landscape filled with towering cacti under a clear blue sky, realistic photography style, 35mm lens, high resolution, golden hour lighting, natural light emphasizing the textures of the cacti skins, detailed sand ground, wide angle shot"
086.jpg,"Golden Gate Bridge enveloped in mist, high-resolution photograph, realistic style, 800mm telephoto lens, high angle view, detailed 8K resolution, soft daylight filtering through fog"
023.webp,"Classic English school building facade, 20th-century architectural style, rendered in an expressive watercolor effect by (artstation:1.2), depicting an overcast day, medium shot using wide angle lens, with soft light and highly detailed textures (resolution:8K), capturing the historic essence and serene educational atmosphere"
060.jpg,"Vivid close-up of dew-kissed purple buds on a plant emerging proudly against a soft green background, macro lens, 78685mm, high-resolution, sharp focus, morning ambient light illuminating the moisture on petals, highly detailed texture visible on each bud, hyperrealistic digital photograph"
044.webp,"Close-up of a man's hand shifting gears in a car, hyper-detailed photograph, shot from a side angle perspective, using a 35mm lens, HDR lighting emphasizing texture on the hand and the gear, rendered in high resolution"
117.jpg,"A mother and a young child observing rainfall together on a wooden deck, surrounded by lush green trees, realistic photograph, natural light, 35mm, medium shot, soft raindrops visible, detail-focused, high resolution"
056.webp,"Victorian era library interior, digital photograph, warm studio lighting, detailed architecture and ornate wooden bookshelves filled with aged books, HDR, 35mm lens, medium telephoto, high resolution, front view"
